Date,,Start Location,Start District,End Location,End District
2023 5 22 19,24908,школьная,северо-западный,космонавтов,юго-восточный
2023 5 22 19,24909,пушкина,центральный,молодежная,юго-восточный
2023 5 22 19,24910,шоссейная,заречный,рябиновая,северо-западный
2023 5 22 19,24911,некрасова,северо-западный,космонавтов,юго-восточный
2023 5 22 19,24912,лесная,юго-восточный,шевченко,юго-восточный
2023 5 22 19,24913,первомайская,северо-западный,вокзальная,юго-восточный
2023 5 22 19,24914,западная,ленинский,гагарина,центральный
2023 5 22 19,24915,крупской,центральный,буденного,октябрьский
2023 5 22 19,24916,карла маркса,ленинский,энергетиков,юго-восточный
2023 5 22 19,24917,ленина,ленинский,почтовая,юго-восточный
2023 5 22 19,24918,дачная,центральный,суворова,ленинский
2023 5 22 19,24919,партизанская,ленинский,гагарина,центральный
2023 5 22 19,24920,садовая,заречный,мира,центральный
2023 5 22 19,24921,рябиновая,северо-западный,чапаева,северо-западный
2023 5 22 19,24922,южная,центральный,колхозная,ленинский
2023 5 22 19,24923,мичурина,ленинский,молодежная,юго-восточный
2023 5 22 19,24924,гоголя,центральный,чапаева,северо-западный
2023 5 22 19,24925,луговая,октябрьский,красная,северо-западный
2023 5 22 19,24926,пионерская,заречный,солнечная,центральный
2023 5 22 19,24927,майская,октябрьский,шевченко,юго-восточный
2023 5 22 19,24928,молодежная,юго-восточный,березовая,северо-западный
2023 5 22 2,24318,свободы,ленинский,калинина,ленинский
2023 5 22 2,24319,ломоносова,октябрьский,нагорная,центральный
2023 5 22 20,24929,лермонтова,ленинский,рябиновая,северо-западный
2023 5 22 20,24930,космонавтов,юго-восточный,почтовая,юго-восточный
2023 5 22 20,24931,совхозная,центральный,ленина,ленинский
2023 5 22 20,24932,труда,центральный,первомайская,северо-западный
2023 5 22 20,24933,школьная,северо-западный,партизанская,ленинский
2023 5 22 20,24934,совхозная,центральный,садовая,заречный
2023 5 22 20,24935,куйбышева,центральный,новая,северо-западный
2023 5 22 20,24936,дзержинского,центральный,московская,северо-западный
2023 5 22 20,24937,советская,центральный,березовая,северо-западный
2023 5 22 20,24938,шоссейная,заречный,колхозная,ленинский
2023 5 22 20,24939,совхозная,центральный,чапаева,северо-западный
2023 5 22 20,24940,дачная,центральный,цветочная,северо-западный
2023 5 22 20,24941,парковая,юго-восточный,сиреневая,юго-восточный
2023 5 22 20,24942,березовая,северо-западный,строительная,северо-западный
2023 5 22 20,24943,буденного,октябрьский,совхозная,центральный
2023 5 22 20,24944,подгорная,ленинский,заводская,северо-западный
2023 5 22 20,24945,лермонтова,ленинский,некрасова,северо-западный
2023 5 22 20,24946,нагорная,центральный,солнечная,центральный
2023 5 22 20,24947,совхозная,центральный,комсомольская,заречный
2023 5 22 20,24948,спортивная,октябрьский,рябиновая,северо-западный
2023 5 22 20,24949,лермонтова,ленинский,парковая,юго-восточный
2023 5 22 20,24950,железнодорожная,центральный,вишневая,юго-восточный
2023 5 22 20,24951,калинина,ленинский,чехова,заречный
2023 5 22 20,24952,дзержинского,центральный,мичурина,ленинский
2023 5 22 20,24953,пролетарская,центральный,ленина,ленинский
2023 5 22 20,24954,заречная,юго-восточный,рабочая,северо-западный
2023 5 22 20,24955,западная,ленинский,буденного,октябрьский
2023 5 22 20,24956,труда,центральный,лесная,юго-восточный
2023 5 22 20,24957,школьная,северо-западный,набережная,центральный
2023 5 22 20,24958,чехова,заречный,степная,центральный
2023 5 22 20,24959,комарова,ленинский,речная,юго-восточный
2023 5 22 20,24960,спортивная,октябрьский,цветочная,северо-западный
2023 5 22 20,24961,ломоносова,октябрьский,партизанская,ленинский
2023 5 22 20,24962,октябрьская,заречный,чехова,заречный
2023 5 22 20,24963,сосновая,юго-восточный,спортивная,октябрьский
2023 5 22 20,24964,майская,октябрьский,мичурина,ленинский
2023 5 22 20,24965,горького,юго-восточный,береговая,центральный
2023 5 22 20,24966,березовая,северо-западный,карла маркса,ленинский
2023 5 22 20,24967,суворова,ленинский,пионерская,заречный
2023 5 22 20,24968,школьная,северо-западный,школьная,северо-западный
2023 5 22 20,24969,полевая,ленинский,октябрьская,заречный
2023 5 22 20,24970,майская,октябрьский,ломоносова,октябрьский
2023 5 22 20,24971,чапаева,северо-западный,некрасова,северо-западный
2023 5 22 20,24972,лермонтова,ленинский,лесная,юго-восточный
2023 5 22 20,24973,пионерская,заречный,буденного,октябрьский
2023 5 22 20,24974,суворова,ленинский,речная,юго-восточный
2023 5 22 20,24975,майская,октябрьский,почтовая,юго-восточный
2023 5 22 20,24976,кирова,ленинский,первомайская,северо-западный
2023 5 22 20,24977,совхозная,центральный,пионерская,заречный
2023 5 22 20,24978,некрасова,северо-западный,железнодорожная,центральный
2023 5 22 20,24979,спортивная,октябрьский,маяковского,центральный
2023 5 22 20,24980,дзержинского,центральный,сиреневая,юго-восточный
2023 5 22 20,24981,лермонтова,ленинский,ленина,ленинский
2023 5 22 20,24982,шоссейная,заречный,победы,юго-восточный
2023 5 22 20,24983,космонавтов,юго-восточный,октябрьская,заречный
2023 5 22 20,24984,пионерская,заречный,некрасова,северо-западный
2023 5 22 20,24985,московская,северо-западный,первомайская,северо-западный
2023 5 22 20,24986,мичурина,ленинский,советская,центральный
2023 5 22 20,24987,суворова,ленинский,некрасова,северо-западный
2023 5 22 20,24988,шевченко,юго-восточный,почтовая,юго-восточный
2023 5 22 20,24989,красноармейская,юго-восточный,юбилейная,юго-восточный
2023 5 22 20,24990,березовая,северо-западный,пионерская,заречный
2023 5 22 20,24991,спортивная,октябрьский,космонавтов,юго-восточный
2023 5 22 20,24992,комарова,ленинский,свободы,ленинский
2023 5 22 20,24993,трудовая,центральный,луговая,октябрьский
2023 5 22 20,24994,победы,юго-восточный,вокзальная,юго-восточный
2023 5 22 20,24995,свердлова,центральный,энтузиастов,центральный
2023 5 22 20,24996,луговая,октябрьский,заводская,северо-западный
2023 5 22 20,24997,мичурина,ленинский,западная,ленинский
2023 5 22 20,24998,подгорная,ленинский,некрасова,северо-западный
2023 5 22 20,24999,спортивная,октябрьский,совхозная,центральный
2023 5 22 20,25000,степная,центральный,трудовая,центральный
2023 5 22 20,25001,озерная,юго-восточный,комарова,ленинский
2023 5 22 20,25002,овражная,центральный,московская,северо-западный
2023 5 22 20,25003,солнечная,центральный,вокзальная,юго-восточный
2023 5 22 20,25004,чапаева,северо-западный,спортивная,октябрьский
2023 5 22 20,25005,дзержинского,центральный,восточная,октябрьский
2023 5 22 20,25006,ломоносова,октябрьский,нагорная,центральный
2023 5 22 20,25007,строительная,северо-западный,рабочая,северо-западный
2023 5 22 20,25008,луговая,октябрьский,энтузиастов,центральный
2023 5 22 20,25009,вишневая,юго-восточный,кирова,ленинский
2023 5 22 21,25010,гагарина,центральный,майская,октябрьский
2023 5 22 21,25011,нагорная,центральный,чкалова,юго-восточный
2023 5 22 21,25012,трудовая,центральный,спортивная,октябрьский
2023 5 22 21,25013,береговая,центральный,цветочная,северо-западный
2023 5 22 21,25014,лермонтова,ленинский,молодежная,юго-восточный
2023 5 22 21,25015,сосновая,юго-восточный,космонавтов,юго-восточный
2023 5 22 21,25016,куйбышева,центральный,буденного,октябрьский
2023 5 22 21,25017,ломоносова,октябрьский,буденного,октябрьский
2023 5 22 21,25018,речная,юго-восточный,озерная,юго-восточный
2023 5 22 21,25019,береговая,центральный,восточная,октябрьский
2023 5 22 21,25020,сосновая,юго-восточный,солнечная,центральный
2023 5 22 21,25021,строителей,центральный,буденного,октябрьский
2023 5 22 21,25022,сосновая,юго-восточный,комарова,ленинский
2023 5 22 21,25023,пионерская,заречный,восточная,октябрьский
2023 5 22 21,25024,красноармейская,юго-восточный,свободы,ленинский
2023 5 22 21,25025,мичурина,ленинский,луговая,октябрьский
2023 5 22 21,25026,партизанская,ленинский,березовая,северо-западный
2023 5 22 21,25027,школьная,северо-западный,восточная,октябрьский
2023 5 22 21,25028,труда,центральный,коммунальная,юго-восточный
2023 5 22 21,25029,кирова,ленинский,октябрьская,заречный
2023 5 22 21,25030,красноармейская,юго-восточный,степная,центральный
2023 5 22 21,25031,пионерская,заречный,комсомольская,заречный
2023 5 22 21,25032,буденного,октябрьский,западная,ленинский
2023 5 22 21,25033,куйбышева,центральный,школьная,северо-западный
2023 5 22 21,25034,южная,центральный,гагарина,центральный
2023 5 22 21,25035,садовая,заречный,калинина,ленинский
2023 5 22 21,25036,суворова,ленинский,куйбышева,центральный
2023 5 22 21,25037,центральная,юго-восточный,западная,ленинский
2023 5 22 21,25038,лермонтова,ленинский,юбилейная,юго-восточный
2023 5 22 21,25039,сосновая,юго-восточный,рябиновая,северо-западный
2023 5 22 21,25040,рябиновая,северо-западный,комсомольская,заречный
2023 5 22 21,25041,пролетарская,центральный,речная,юго-восточный
2023 5 22 21,25042,пушкина,центральный,маяковского,центральный
2023 5 22 21,25043,некрасова,северо-западный,парковая,юго-восточный
2023 5 22 21,25044,мира,центральный,чкалова,юго-восточный
2023 5 22 21,25045,луговая,октябрьский,октябрьская,заречный
2023 5 22 21,25046,свободы,ленинский,свободы,ленинский
2023 5 22 22,25047,зеленая,центральный,пушкина,центральный
2023 5 22 22,25048,шевченко,юго-восточный,московская,северо-западный
2023 5 22 22,25049,шоссейная,заречный,западная,ленинский
2023 5 22 22,25050,энтузиастов,центральный,красная,северо-западный
2023 5 22 22,25051,молодежная,юго-восточный,спортивная,октябрьский
2023 5 22 22,25052,партизанская,ленинский,заводская,северо-западный
2023 5 22 22,25053,чапаева,северо-западный,первомайская,северо-западный
2023 5 22 22,25054,красноармейская,юго-восточный,рабочая,северо-западный
2023 5 22 22,25055,свободы,ленинский,солнечная,центральный
2023 5 22 22,25056,дружбы,центральный,цветочная,северо-западный
2023 5 22 22,25057,сосновая,юго-восточный,суворова,ленинский
2023 5 22 22,25058,победы,юго-восточный,озерная,юго-восточный
2023 5 22 22,25059,чкалова,юго-восточный,вокзальная,юго-восточный
2023 5 22 22,25060,партизанская,ленинский,степная,центральный
2023 5 22 22,25061,мира,центральный,некрасова,северо-западный
2023 5 22 22,25062,восточная,октябрьский,полевая,ленинский
2023 5 22 22,25063,степная,центральный,пролетарская,центральный
2023 5 22 22,25064,комсомольская,заречный,коммунальная,юго-восточный
2023 5 22 22,25065,красная,северо-западный,космонавтов,юго-восточный
2023 5 22 22,25066,заводская,северо-западный,восточная,октябрьский
2023 5 22 22,25067,чкалова,юго-восточный,пионерская,заречный
2023 5 22 22,25068,маяковского,центральный,набережная,центральный
2023 5 22 22,25069,набережная,центральный,цветочная,северо-западный
2023 5 22 22,25070,шоссейная,заречный,свободы,ленинский
2023 5 22 22,25071,строителей,центральный,восточная,октябрьский
2023 5 22 22,25072,красная,северо-западный,вокзальная,юго-восточный
2023 5 22 22,25073,березовая,северо-западный,озерная,юго-восточный
2023 5 22 22,25074,московская,северо-западный,кирова,ленинский
2023 5 22 22,25075,подгорная,ленинский,шоссейная,заречный
2023 5 22 22,25076,береговая,центральный,нагорная,центральный
2023 5 22 22,25077,железнодорожная,центральный,партизанская,ленинский
2023 5 22 22,25078,восточная,октябрьский,калинина,ленинский
2023 5 22 22,25079,московская,северо-западный,майская,октябрьский
2023 5 22 22,25080,цветочная,северо-западный,комсомольская,заречный
2023 5 22 22,25081,чкалова,юго-восточный,школьная,северо-западный
2023 5 22 22,25082,восточная,октябрьский,гоголя,центральный
2023 5 22 23,25083,западная,ленинский,пионерская,заречный
2023 5 22 23,25084,советская,центральный,центральная,юго-восточный
2023 5 22 23,25085,лесная,юго-восточный,пионерская,заречный
2023 5 22 23,25086,центральная,юго-восточный,свердлова,центральный
2023 5 22 23,25087,пионерская,заречный,нагорная,центральный
2023 5 22 23,25088,комарова,ленинский,гагарина,центральный
2023 5 22 23,25089,пионерская,заречный,коммунальная,юго-восточный
2023 5 22 23,25090,центральная,юго-восточный,лесная,юго-восточный
2023 5 22 23,25091,луговая,октябрьский,крупской,центральный
2023 5 22 23,25092,железнодорожная,центральный,шевченко,юго-восточный
2023 5 22 23,25093,майская,октябрьский,кирова,ленинский
2023 5 22 23,25094,пионерская,заречный,луговая,октябрьский
2023 5 22 23,25095,чкалова,юго-восточный,рабочая,северо-западный
2023 5 22 23,25096,труда,центральный,труда,центральный
2023 5 22 23,25097,чапаева,северо-западный,заводская,северо-западный
2023 5 22 23,25098,почтовая,юго-восточный,пролетарская,центральный
2023 5 22 23,25099,трудовая,центральный,чкалова,юго-восточный
2023 5 22 23,25100,вокзальная,юго-восточный,березовая,северо-западный
2023 5 22 23,25101,ленина,ленинский,коммунальная,юго-восточный
2023 5 22 23,25102,новая,северо-западный,дачная,центральный
2023 5 22 3,24320,труда,центральный,майская,октябрьский
2023 5 22 3,24321,зеленая,центральный,майская,октябрьский
2023 5 22 4,24322,дачная,центральный,чехова,заречный
2023 5 22 4,24323,полевая,ленинский,суворова,ленинский
2023 5 22 5,24324,свободы,ленинский,чапаева,северо-западный
2023 5 22 5,24325,цветочная,северо-западный,цветочная,северо-западный
2023 5 22 5,24326,московская,северо-западный,лермонтова,ленинский
2023 5 22 5,24327,гагарина,центральный,комсомольская,заречный
2023 5 22 5,24328,суворова,ленинский,кирова,ленинский
2023 5 22 5,24329,энергетиков,юго-восточный,партизанская,ленинский
2023 5 22 5,24330,дзержинского,центральный,подгорная,ленинский
2023 5 22 5,24331,западная,ленинский,мира,центральный
2023 5 22 6,24332,труда,центральный,мира,центральный
2023 5 22 6,24333,нагорная,центральный,коммунальная,юго-восточный
2023 5 22 6,24334,чапаева,северо-западный,полевая,ленинский
2023 5 22 6,24335,новая,северо-западный,степная,центральный
2023 5 22 6,24336,космонавтов,юго-восточный,ломоносова,октябрьский
2023 5 22 6,24337,калинина,ленинский,садовая,заречный
2023 5 22 6,24338,калинина,ленинский,ленина,ленинский
2023 5 22 6,24339,буденного,октябрьский,советская,центральный
2023 5 22 6,24340,шоссейная,заречный,совхозная,центральный
2023 5 22 6,24341,свердлова,центральный,березовая,северо-западный
2023 5 22 6,24342,западная,ленинский,строительная,северо-западный
2023 5 22 6,24343,подгорная,ленинский,центральная,юго-восточный
2023 5 22 6,24344,речная,юго-восточный,ломоносова,октябрьский
2023 5 22 6,24345,шоссейная,заречный,молодежная,юго-восточный
2023 5 22 6,24346,трудовая,центральный,ломоносова,октябрьский
2023 5 22 6,24347,луговая,октябрьский,железнодорожная,центральный
2023 5 22 6,24348,парковая,юго-восточный,полевая,ленинский
2023 5 22 6,24349,суворова,ленинский,карла маркса,ленинский
2023 5 22 6,24350,суворова,ленинский,кооперативная,центральный
2023 5 22 6,24351,строительная,северо-западный,красноармейская,юго-восточный
2023 5 22 6,24352,полевая,ленинский,комсомольская,заречный
2023 5 22 6,24353,подгорная,ленинский,южная,центральный
2023 5 22 6,24354,пионерская,заречный,восточная,октябрьский
2023 5 22 6,24355,свердлова,центральный,майская,октябрьский
2023 5 22 6,24356,карла маркса,ленинский,березовая,северо-западный
2023 5 22 6,24357,сосновая,юго-восточный,колхозная,ленинский
2023 5 22 6,24358,строительная,северо-западный,лесная,юго-восточный
2023 5 22 6,24359,буденного,октябрьский,юбилейная,юго-восточный
2023 5 22 6,24360,западная,ленинский,майская,октябрьский
2023 5 22 6,24361,шоссейная,заречный,речная,юго-восточный
2023 5 22 6,24362,горького,юго-восточный,майская,октябрьский
2023 5 22 6,24363,пушкина,центральный,гагарина,центральный
2023 5 22 7,24364,карла маркса,ленинский,заречная,юго-восточный
2023 5 22 7,24365,пионерская,заречный,западная,ленинский
2023 5 22 7,24366,калинина,ленинский,дзержинского,центральный
2023 5 22 7,24367,почтовая,юго-восточный,южная,центральный
2023 5 22 7,24368,цветочная,северо-западный,овражная,центральный
2023 5 22 7,24369,луговая,октябрьский,пушкина,центральный
2023 5 22 7,24370,свободы,ленинский,садовая,заречный
2023 5 22 7,24371,чкалова,юго-восточный,матросова,центральный
2023 5 22 7,24372,свободы,ленинский,юбилейная,юго-восточный
2023 5 22 7,24373,космонавтов,юго-восточный,буденного,октябрьский
2023 5 22 7,24374,юбилейная,юго-восточный,свободы,ленинский
2023 5 22 7,24375,парковая,юго-восточный,молодежная,юго-восточный
2023 5 22 7,24376,матросова,центральный,береговая,центральный
2023 5 22 7,24377,чкалова,юго-восточный,пионерская,заречный
2023 5 22 7,24378,нагорная,центральный,чехова,заречный
2023 5 22 7,24379,юбилейная,юго-восточный,свободы,ленинский
2023 5 22 7,24380,садовая,заречный,трудовая,центральный
2023 5 22 7,24381,совхозная,центральный,строительная,северо-западный
2023 5 22 7,24382,ленина,ленинский,совхозная,центральный
2023 5 22 7,24383,вишневая,юго-восточный,московская,северо-западный
2023 5 22 7,24384,школьная,северо-западный,гагарина,центральный
2023 5 22 7,24385,советская,центральный,совхозная,центральный
2023 5 22 7,24386,овражная,центральный,спортивная,октябрьский
2023 5 22 7,24387,дружбы,центральный,гоголя,центральный
2023 5 22 7,24388,крупской,центральный,энергетиков,юго-восточный
2023 5 22 7,24389,березовая,северо-западный,трудовая,центральный
2023 5 22 7,24390,юбилейная,юго-восточный,восточная,октябрьский
2023 5 22 7,24391,сиреневая,юго-восточный,северная,центральный
2023 5 22 7,24392,московская,северо-западный,речная,юго-восточный
2023 5 22 7,24393,сосновая,юго-восточный,лесная,юго-восточный
2023 5 22 7,24394,комсомольская,заречный,ломоносова,октябрьский
2023 5 22 7,24395,некрасова,северо-западный,коммунальная,юго-восточный
2023 5 22 7,24396,труда,центральный,вокзальная,юго-восточный
2023 5 22 7,24397,восточная,октябрьский,ломоносова,октябрьский
2023 5 22 7,24398,парковая,юго-восточный,майская,октябрьский
2023 5 22 7,24399,чехова,заречный,мичурина,ленинский
2023 5 22 7,24400,коммунальная,юго-восточный,чапаева,северо-западный
2023 5 22 7,24401,ленина,ленинский,западная,ленинский
2023 5 22 7,24402,железнодорожная,центральный,свободы,ленинский
2023 5 22 8,24403,майская,октябрьский,дзержинского,центральный
2023 5 22 8,24404,лесная,юго-восточный,озерная,юго-восточный
2023 5 22 8,24405,чкалова,юго-восточный,комарова,ленинский
2023 5 22 8,24406,новая,северо-западный,дзержинского,центральный
2023 5 22 8,24407,рябиновая,северо-западный,рябиновая,северо-западный
2023 5 22 8,24408,дзержинского,центральный,буденного,октябрьский
2023 5 22 8,24409,полевая,ленинский,луговая,октябрьский
2023 5 22 8,24410,железнодорожная,центральный,луговая,октябрьский
2023 5 22 8,24411,заводская,северо-западный,партизанская,ленинский
2023 5 22 8,24412,лермонтова,ленинский,гоголя,центральный
2023 5 22 8,24413,школьная,северо-западный,космонавтов,юго-восточный
2023 5 22 8,24414,заречная,юго-восточный,зеленая,центральный
2023 5 22 8,24415,молодежная,юго-восточный,строительная,северо-западный
2023 5 22 8,24416,дачная,центральный,космонавтов,юго-восточный
2023 5 22 8,24417,рабочая,северо-западный,свободы,ленинский
2023 5 22 8,24418,садовая,заречный,карла маркса,ленинский
2023 5 22 8,24419,первомайская,северо-западный,береговая,центральный
2023 5 22 8,24420,пионерская,заречный,ломоносова,октябрьский
2023 5 22 8,24421,партизанская,ленинский,калинина,ленинский
2023 5 22 8,24422,цветочная,северо-западный,солнечная,центральный
2023 5 22 8,24423,красноармейская,юго-восточный,майская,октябрьский
2023 5 22 8,24424,некрасова,северо-западный,крупской,центральный
2023 5 22 8,24425,комсомольская,заречный,железнодорожная,центральный
2023 5 22 8,24426,комсомольская,заречный,партизанская,ленинский
2023 5 22 8,24427,майская,октябрьский,дзержинского,центральный
2023 5 22 8,24428,калинина,ленинский,молодежная,юго-восточный
2023 5 22 8,24429,ленина,ленинский,пионерская,заречный
2023 5 22 8,24430,совхозная,центральный,некрасова,северо-западный
2023 5 22 8,24431,вокзальная,юго-восточный,полевая,ленинский
2023 5 22 8,24432,спортивная,октябрьский,куйбышева,центральный
2023 5 22 8,24433,луговая,октябрьский,буденного,октябрьский
2023 5 22 8,24434,речная,юго-восточный,школьная,северо-западный
2023 5 22 8,24435,майская,октябрьский,строительная,северо-западный
2023 5 22 8,24436,новая,северо-западный,комсомольская,заречный
2023 5 22 8,24437,школьная,северо-западный,центральная,юго-восточный
2023 5 22 8,24438,вишневая,юго-восточный,трудовая,центральный
2023 5 22 8,24439,пионерская,заречный,шоссейная,заречный
2023 5 22 8,24440,зеленая,центральный,свободы,ленинский
2023 5 22 8,24441,маяковского,центральный,западная,ленинский
2023 5 22 8,24442,строительная,северо-западный,железнодорожная,центральный
2023 5 22 8,24443,суворова,ленинский,молодежная,юго-восточный
2023 5 22 8,24444,новая,северо-западный,лесная,юго-восточный
2023 5 22 8,24445,калинина,ленинский,красная,северо-западный
2023 5 22 8,24446,шоссейная,заречный,восточная,октябрьский
2023 5 22 8,24447,садовая,заречный,березовая,северо-западный
2023 5 22 8,24448,почтовая,юго-восточный,пролетарская,центральный
2023 5 22 8,24449,свободы,ленинский,комарова,ленинский
2023 5 22 8,24450,новая,северо-западный,энтузиастов,центральный
2023 5 22 8,24451,березовая,северо-западный,дзержинского,центральный
2023 5 22 8,24452,буденного,октябрьский,мичурина,ленинский
2023 5 22 9,24453,кооперативная,центральный,чапаева,северо-западный
2023 5 22 9,24454,комсомольская,заречный,некрасова,северо-западный
2023 5 22 9,24455,калинина,ленинский,трудовая,центральный
2023 5 22 9,24456,цветочная,северо-западный,спортивная,октябрьский
2023 5 22 9,24457,ломоносова,октябрьский,речная,юго-восточный
2023 5 22 9,24458,энергетиков,юго-восточный,новая,северо-западный
2023 5 22 9,24459,горького,юго-восточный,гагарина,центральный
2023 5 22 9,24460,куйбышева,центральный,колхозная,ленинский
2023 5 22 9,24461,чехова,заречный,сиреневая,юго-восточный
2023 5 22 9,24462,новая,северо-западный,кооперативная,центральный
2023 5 22 9,24463,молодежная,юго-восточный,победы,юго-восточный
2023 5 22 9,24464,шоссейная,заречный,труда,центральный
2023 5 22 9,24465,чкалова,юго-восточный,спортивная,октябрьский
2023 5 22 9,24466,лермонтова,ленинский,энергетиков,юго-восточный
2023 5 22 9,24467,заречная,юго-восточный,юбилейная,юго-восточный
2023 5 22 9,24468,спортивная,октябрьский,парковая,юго-восточный
2023 5 22 9,24469,комсомольская,заречный,энтузиастов,центральный
2023 5 22 9,24470,восточная,октябрьский,дружбы,центральный
2023 5 22 9,24471,сиреневая,юго-восточный,сиреневая,юго-восточный
2023 5 22 9,24472,шоссейная,заречный,гоголя,центральный
2023 5 22 9,24473,чехова,заречный,партизанская,ленинский
2023 5 22 9,24474,парковая,юго-восточный,рабочая,северо-западный
2023 5 22 9,24475,матросова,центральный,мичурина,ленинский
2023 5 22 9,24476,строителей,центральный,некрасова,северо-западный
2023 5 22 9,24477,парковая,юго-восточный,северная,центральный
2023 5 22 9,24478,новая,северо-западный,майская,октябрьский
2023 5 22 9,24479,садовая,заречный,дачная,центральный
2023 5 22 9,24480,железнодорожная,центральный,дорожная,юго-восточный
2023 5 22 9,24481,чапаева,северо-западный,садовая,заречный
2023 5 22 9,24482,мичурина,ленинский,труда,центральный
2023 5 22 9,24483,красноармейская,юго-восточный,советская,центральный
2023 5 22 9,24484,озерная,юго-восточный,полевая,ленинский
2023 5 22 9,24485,школьная,северо-западный,северная,центральный
2023 5 22 9,24486,строителей,центральный,березовая,северо-западный
2023 5 22 9,24487,вишневая,юго-восточный,заводская,северо-западный
2023 5 22 9,24488,береговая,центральный,луговая,октябрьский
2023 5 22 9,24489,ломоносова,октябрьский,гоголя,центральный
2023 5 22 9,24490,рабочая,северо-западный,центральная,юго-восточный
2023 5 22 9,24491,московская,северо-западный,озерная,юго-восточный
2023 5 22 9,24492,подгорная,ленинский,красная,северо-западный
2023 5 22 9,24493,спортивная,октябрьский,южная,центральный
2023 5 23 0,25103,луговая,октябрьский,школьная,северо-западный
2023 5 23 0,25104,свердлова,центральный,центральная,юго-восточный
2023 5 23 0,25105,мичурина,ленинский,молодежная,юго-восточный
2023 5 23 0,25106,озерная,юго-восточный,пионерская,заречный
2023 5 23 0,25107,степная,центральный,цветочная,северо-западный
2023 5 23 0,25108,луговая,октябрьский,дружбы,центральный
2023 5 23 1,25109,дзержинского,центральный,вокзальная,юго-восточный
2023 5 23 1,25110,лесная,юго-восточный,ломоносова,октябрьский
2023 5 23 1,25111,заречная,юго-восточный,солнечная,центральный
2023 5 23 10,25261,коммунальная,юго-восточный,дачная,центральный
2023 5 23 10,25262,чехова,заречный,первомайская,северо-западный
2023 5 23 10,25263,дзержинского,центральный,парковая,юго-восточный
2023 5 23 10,25264,ленина,ленинский,чехова,заречный
2023 5 23 10,25265,северная,центральный,гоголя,центральный
2023 5 23 10,25266,карла маркса,ленинский,чехова,заречный
2023 5 23 10,25267,шевченко,юго-восточный,пионерская,заречный
2023 5 23 10,25268,заводская,северо-западный,железнодорожная,центральный
2023 5 23 10,25269,лермонтова,ленинский,степная,центральный
2023 5 23 10,25270,колхозная,ленинский,сиреневая,юго-восточный
2023 5 23 10,25271,школьная,северо-западный,гоголя,центральный
2023 5 23 10,25272,чехова,заречный,пролетарская,центральный
2023 5 23 10,25273,березовая,северо-западный,строителей,центральный
2023 5 23 10,25274,спортивная,октябрьский,калинина,ленинский
2023 5 23 10,25275,куйбышева,центральный,овражная,центральный
2023 5 23 10,25276,школьная,северо-западный,овражная,центральный
2023 5 23 11,25277,первомайская,северо-западный,первомайская,северо-западный
2023 5 23 11,25278,куйбышева,центральный,пушкина,центральный
2023 5 23 11,25279,буденного,октябрьский,степная,центральный
2023 5 23 11,25280,полевая,ленинский,нагорная,центральный
2023 5 23 11,25281,чапаева,северо-западный,спортивная,октябрьский
2023 5 23 11,25282,вокзальная,юго-восточный,дзержинского,центральный
2023 5 23 11,25283,спортивная,октябрьский,шевченко,юго-восточный
2023 5 23 11,25284,энтузиастов,центральный,чехова,заречный
2023 5 23 11,25285,молодежная,юго-восточный,космонавтов,юго-восточный
2023 5 23 11,25286,новая,северо-западный,горького,юго-восточный
2023 5 23 11,25287,шоссейная,заречный,нагорная,центральный
2023 5 23 11,25288,суворова,ленинский,молодежная,юго-восточный
2023 5 23 11,25289,юбилейная,юго-восточный,мичурина,ленинский
2023 5 23 11,25290,речная,юго-восточный,ломоносова,октябрьский
2023 5 23 11,25291,строительная,северо-западный,ломоносова,октябрьский
2023 5 23 11,25292,набережная,центральный,колхозная,ленинский
2023 5 23 11,25293,комарова,ленинский,советская,центральный
2023 5 23 11,25294,железнодорожная,центральный,майская,октябрьский
2023 5 23 11,25295,рабочая,северо-западный,ломоносова,октябрьский
2023 5 23 11,25296,луговая,октябрьский,чехова,заречный
2023 5 23 11,25297,ленина,ленинский,речная,юго-восточный
2023 5 23 11,25298,чехова,заречный,дзержинского,центральный
2023 5 23 11,25299,железнодорожная,центральный,озерная,юго-восточный
2023 5 23 12,25300,октябрьская,заречный,цветочная,северо-западный
2023 5 23 12,25301,куйбышева,центральный,энергетиков,юго-восточный
2023 5 23 12,25302,партизанская,ленинский,московская,северо-западный
2023 5 23 12,25303,красная,северо-западный,гагарина,центральный
2023 5 23 12,25304,труда,центральный,спортивная,октябрьский
2023 5 23 12,25305,чапаева,северо-западный,партизанская,ленинский
2023 5 23 12,25306,ломоносова,октябрьский,октябрьская,заречный
2023 5 23 12,25307,спортивная,октябрьский,буденного,октябрьский
2023 5 23 12,25308,южная,центральный,трудовая,центральный
2023 5 23 12,25309,красноармейская,юго-восточный,спортивная,октябрьский
2023 5 23 12,25310,западная,ленинский,труда,центральный
2023 5 23 12,25311,школьная,северо-западный,комсомольская,заречный
2023 5 23 12,25312,ломоносова,октябрьский,колхозная,ленинский
2023 5 23 12,25313,труда,центральный,пролетарская,центральный
2023 5 23 12,25314,гагарина,центральный,железнодорожная,центральный
2023 5 23 12,25315,восточная,октябрьский,южная,центральный
2023 5 23 12,25316,спортивная,октябрьский,энтузиастов,центральный
2023 5 23 12,25317,московская,северо-западный,береговая,центральный
